etunimi;sukunimi;puhelin;sahkoposti;henkilotunnus;lahiosoite;postinumero;postitoimipaikka;
Timo;Virtanen;0404359436;timo.virtanengmail.com;120345-123A;Ahmankatu;24100;SALO; 
Matti;Virtanen;0509702227;matti.virtanengmail.com;120345-123A;Anistenkatu;24100;SALO;
Matti;Järvinen;0506725324;matti.järvinengmail.com;120345-123A;Annankatu;24100;SALO;
Kari;Virtanen;0405375094;kari.virtanengmail.com;120345-123A;Asemakatu;24100;SALO;
Timo;Korhonen;0447200075;timo.korhonengmail.com;120345-123A;Eerikinkatu;24100;SALO;
Timo;Mäkinen;0404418360;timo.mäkinen@gmail.com;120345-123A;Enolankatu;24100;SALO;
Juha;Korhonen;0401524046;juha.korhonen@gmail.com;120345-123A;Fribölentie;24100;SALO;
Matti;Korhonen;0449745235;matti.korhonen@gmail.com;120345-123A;Hakalankuja;24100;SALO;
Matti;Mäkelä;0507166109;matti.mäkelä@gmail.com;120345-123A;Haukkalankatu;24100;SALO;
Kari;Korhonen;0509825565;kari.korhonen@gmail.com;120345-123A;Havunkatu;24100;SALO;
Mikko;Virtanen;0401604903;mikko.virtanen@gmail.com;120345-123A;Helsingintie;24100;SALO;
Matti;Mäkinen;0403217091;matti.mäkinen@gmail.com;120345-123A;Hesenkatu;24100;SALO;
Kari;Nieminen;0443110080;kari.nieminen@gmail.com;120345-123A;Hiihtomajantie;24100;SALO;
Matti;Nieminen;0405596692;matti.nieminen@gmail.com;120345-123A;Hillerinkuja;24100;SALO;
Jari;Virtanen;0404023559;jari.virtanen@gmail.com;120345-123A;Hirvenpiha;24100;SALO;
Mikko;Mäkelä;0509291639;mikko.mäkelä@gmail.com;120345-123A;Hukankatu;24100;SALO;
Markku;Virtanen;0446540776;markku.virtanen@gmail.com;120345-123A;Hämmäistenkatu;24100;SALO;
Jukka;Virtanen;0505310842;jukka.virtanen@gmail.com;120345-123A;Ilveksenkatu;24100;SALO;
Kari;Koskinen;0407876104;kari.koskinen@gmail.com;120345-123A;Inkerinkuja;24100;SALO;
Juha;Nieminen;0406623235;juha.nieminen@gmail.com;120345-123A;Jahtivoudinkatu;24100;SALO;
Matti;Hämäläinen;0501453368;matti.hämäläinen@gmail.com;120345-123A;Joensuunkartano;24100;SALO;
Hannu;Korhonen;0404878176;hannu.korhonen@gmail.com;120345-123A;Junnaronkatu;24100;SALO;
Timo;Nieminen;0445178748;timo.nieminen@gmail.com;120345-123A;Kajalankatu;24100;SALO;
Markku;Mäkinen;0442391725;markku.mäkinen@gmail.com;120345-123A;Kapteeninkatu;24100;SALO;
Kari;Hämäläinen;0404909088;kari.hämäläinen@gmail.com;120345-123A;Karhunpiha;24100;SALO;
Timo;Mäkelä;0442333420;timo.mäkelä@gmail.com;120345-123A;Karjaskyläntie;24100;SALO;
Juha;Mäkelä;0507065005;juha.mäkelä@gmail.com;120345-123A;Kauriinkatu;24100;SALO;
Kari;Laine;0405862647;kari.laine@gmail.com;120345-123A;Kellonsoittajankatu;24100;SALO;
Timo;Laine;0505961835;timo.laine@gmail.com;120345-123A;Ketomaankatu;24100;SALO;
Matti;Lehtinen;0448275338;matti.lehtinen@gmail.com;120345-123A;Kilinkatu;24100;SALO;
Mikko;Mäkinen;0501898462;mikko.mäkinen@gmail.com;120345-123A;Kivenhakkaajankatu;24100;SALO;
Matti;Heikkinen;0409069570;matti.heikkinen@gmail.com;120345-123A;Kollarinkatu;24100;SALO;
Pekka;Korhonen;0449676432;pekka.korhonen@gmail.com;120345-123A;Kontionkuja;24100;SALO;
